,version,network,N,seeding_method,critical_q
63,BA,sgp.2003.sars.1.00,172,pair,0.99
64,BA,sgp.2003.sars.1.00,172,random,0.51
65,empirical,sgp.2003.sars.1.00,172,friend,1.0
66,empirical,kor.2015.mers.1.00,186,friend,1.0
67,BA,kor.2015.mers.1.00,186,random,0.51
68,BA,kor.2015.mers.1.00,186,pair,0.99
69,empirical,kor.2015.mers.1.00,186,random,0.36
70,empirical,kor.2015.mers.1.00,186,pair,1.0
71,BA,kor.2015.mers.1.00,186,friend,0.99
72,empirical,physician_trust,241,friend,0.5
73,BA,physician_trust,241,random,0.34
74,empirical,physician_trust,241,pair,0.43
75,empirical,physician_trust,241,random,0.4
76,BA,physician_trust,241,friend,0.5
77,BA,physician_trust,241,pair,0.4
78,BA,zprimary-school-proximity,242,random,0.21
79,empirical,zprimary-school-proximity,242,friend,0.24
80,BA,zprimary-school-proximity,242,friend,0.24
81,empirical,zprimary-school-proximity,242,random,0.22
82,BA,zprimary-school-proximity,242,pair,0.23
83,empirical,zprimary-school-proximity,242,pair,0.26
84,BA,webkb-wisc,265,random,0.5
85,BA,webkb-wisc,265,pair,0.5
86,BA,webkb-wisc,265,friend,0.67
87,empirical,webkb-wisc,265,random,0.5
88,empirical,webkb-wisc,265,pair,0.62
89,empirical,webkb-wisc,265,friend,1.0
90,empirical,usa.2009.flu.1.00,286,random,0.5
91,BA,usa.2009.flu.1.00,286,friend,0.99
92,BA,usa.2009.flu.1.00,286,random,0.54
93,BA,usa.2009.flu.1.00,286,pair,0.99
94,empirical,usa.2009.flu.1.00,286,pair,0.5
95,empirical,usa.2009.flu.1.00,286,friend,1.0
96,BA,contacts-prox-high-school-2013,327,random,0.25
97,BA,contacts-prox-high-school-2013,327,pair,0.27
98,empirical,contacts-prox-high-school-2013-attr,327,friend,0.3
99,BA,contacts-prox-high-school-2013,327,friend,0.29
100,empirical,contacts-prox-high-school-2013,327,random,0.27
101,BA,contacts-prox-high-school-2013-attr,327,pair,0.26
102,empirical,contacts-prox-high-school-2013-attr,327,random,0.3
103,empirical,contacts-prox-high-school-2013,327,friend,0.27
104,empirical,contacts-prox-high-school-2013,327,pair,0.32
105,BA,contacts-prox-high-school-2013-attr,327,friend,0.3
106,BA,contacts-prox-high-school-2013-attr,327,random,0.25
107,empirical,contacts-prox-high-school-2013-attr,327,pair,0.31
108,empirical,kidnappings,351,friend,1.0
109,empirical,kidnappings,351,pair,1.0
110,BA,kidnappings,351,random,0.57
111,BA,kidnappings,351,friend,0.99
112,BA,kidnappings,351,pair,0.99
113,empirical,kidnappings,351,random,0.56
114,empirical,infect-dublin,410,pair,0.43
115,empirical,infect-dublin,410,friend,0.4
116,empirical,infect-dublin,410,random,0.39
117,BA,infect-dublin,410,pair,0.34
118,BA,infect-dublin,410,friend,0.4
119,BA,infect-dublin,410,random,0.3
120,empirical,aves-weaver-social,445,random,0.46
121,BA,aves-weaver-social,445,random,0.34
122,empirical,aves-weaver-social,445,pair,0.5
123,empirical,aves-weaver-social,445,friend,0.5
124,BA,aves-weaver-social,445,friend,0.67
125,BA,aves-weaver-social,445,pair,0.42
126,empirical,fb_friends.csv,800,random,0.34
127,BA,fb_friends.csv,800,friend,0.4
128,BA,fb_friends.csv,800,random,0.3
129,empirical,fb_friends.csv,800,friend,0.4
130,empirical,fb_friends.csv,800,pair,0.39
131,BA,fb_friends.csv,800,pair,0.34
132,empirical,inf-euroroad,1174,random,0.5
133,BA,inf-euroroad,1174,pair,0.99
134,BA,inf-euroroad,1174,random,0.99
135,BA,inf-euroroad,1174,friend,0.99
136,empirical,inf-euroroad,1174,friend,0.5
137,empirical,inf-euroroad,1174,pair,0.5
138,empirical,fb-messages,1899,friend,0.5
139,empirical,fb-messages,1899,random,0.25
140,empirical,fb-messages,1899,pair,0.38
141,BA,fb-messages,1899,pair,0.36
142,BA,fb-messages,1899,random,0.3
143,BA,fb-messages,1899,friend,0.42
