,index,Triangle,Degree,network
158,99,18,8,aves-weaver-social
159,103,24,9,aves-weaver-social
160,110,49,14,aves-weaver-social
161,106,35,12,aves-weaver-social
162,393,1,2,aves-weaver-social
163,105,24,8,aves-weaver-social
164,119,4,4,aves-weaver-social
165,115,27,9,aves-weaver-social
166,117,25,8,aves-weaver-social
167,114,1,2,aves-weaver-social
168,310,30,11,aves-weaver-social
169,313,35,10,aves-weaver-social
170,315,35,10,aves-weaver-social
171,440,32,10,aves-weaver-social
172,120,10,5,aves-weaver-social
173,121,17,7,aves-weaver-social
174,126,14,6,aves-weaver-social
175,129,15,7,aves-weaver-social
176,130,22,9,aves-weaver-social
177,394,20,8,aves-weaver-social
178,123,18,8,aves-weaver-social
179,125,11,7,aves-weaver-social
180,122,0,1,aves-weaver-social
181,124,3,4,aves-weaver-social
182,128,10,6,aves-weaver-social
183,127,19,12,aves-weaver-social
184,334,38,11,aves-weaver-social
185,335,45,13,aves-weaver-social
186,131,0,1,aves-weaver-social
187,138,1,4,aves-weaver-social
188,132,7,7,aves-weaver-social
189,133,6,4,aves-weaver-social
190,134,6,4,aves-weaver-social
191,140,11,9,aves-weaver-social
192,395,0,1,aves-weaver-social
193,396,1,2,aves-weaver-social
194,397,6,5,aves-weaver-social
195,135,0,1,aves-weaver-social
196,136,0,3,aves-weaver-social
197,398,0,2,aves-weaver-social
198,399,0,1,aves-weaver-social
199,137,0,1,aves-weaver-social
200,148,1,3,aves-weaver-social
201,139,0,1,aves-weaver-social
202,165,15,8,aves-weaver-social
203,169,13,8,aves-weaver-social
204,407,7,5,aves-weaver-social
205,141,0,2,aves-weaver-social
206,400,1,3,aves-weaver-social
207,401,1,3,aves-weaver-social
208,142,3,3,aves-weaver-social
209,144,16,10,aves-weaver-social
210,143,3,4,aves-weaver-social
211,145,3,3,aves-weaver-social
212,156,3,4,aves-weaver-social
213,158,3,4,aves-weaver-social
214,402,3,3,aves-weaver-social
215,149,41,19,aves-weaver-social
216,153,22,9,aves-weaver-social
217,154,6,4,aves-weaver-social
218,168,8,5,aves-weaver-social
219,403,0,2,aves-weaver-social
220,404,3,3,aves-weaver-social
221,146,29,12,aves-weaver-social
222,150,12,8,aves-weaver-social
223,157,21,9,aves-weaver-social
224,159,25,10,aves-weaver-social
225,161,5,4,aves-weaver-social
226,166,15,6,aves-weaver-social
227,167,25,10,aves-weaver-social
228,406,3,3,aves-weaver-social
229,147,1,2,aves-weaver-social
230,163,1,2,aves-weaver-social
231,405,11,6,aves-weaver-social
232,155,14,13,aves-weaver-social
233,160,10,5,aves-weaver-social
234,162,10,5,aves-weaver-social
235,164,10,5,aves-weaver-social
236,278,38,12,aves-weaver-social
237,294,51,21,aves-weaver-social
238,427,37,13,aves-weaver-social
239,151,0,1,aves-weaver-social
240,152,0,1,aves-weaver-social
241,408,0,1,aves-weaver-social
242,274,9,6,aves-weaver-social
243,276,6,4,aves-weaver-social
244,288,1,2,aves-weaver-social
245,291,8,6,aves-weaver-social
246,426,8,6,aves-weaver-social
247,428,6,4,aves-weaver-social
248,430,0,1,aves-weaver-social
249,170,1,2,aves-weaver-social
250,180,7,7,aves-weaver-social
251,349,1,3,aves-weaver-social
252,171,11,8,aves-weaver-social
253,172,3,5,aves-weaver-social
254,177,61,18,aves-weaver-social
255,178,14,10,aves-weaver-social
256,181,7,6,aves-weaver-social
257,184,23,8,aves-weaver-social
258,186,6,4,aves-weaver-social
259,192,64,22,aves-weaver-social
260,409,1,2,aves-weaver-social
261,176,6,5,aves-weaver-social
262,179,51,21,aves-weaver-social
263,191,37,11,aves-weaver-social
264,194,40,12,aves-weaver-social
265,173,11,7,aves-weaver-social
266,350,10,7,aves-weaver-social
267,353,10,5,aves-weaver-social
268,410,1,3,aves-weaver-social
269,174,0,1,aves-weaver-social
270,411,0,1,aves-weaver-social
271,175,1,2,aves-weaver-social
272,183,39,16,aves-weaver-social
273,188,6,4,aves-weaver-social
274,189,10,7,aves-weaver-social
275,190,6,4,aves-weaver-social
276,182,30,11,aves-weaver-social
277,193,18,8,aves-weaver-social
278,195,29,9,aves-weaver-social
279,341,22,8,aves-weaver-social
280,354,18,8,aves-weaver-social
281,185,6,4,aves-weaver-social
282,339,10,6,aves-weaver-social
283,412,6,4,aves-weaver-social
284,187,1,3,aves-weaver-social
285,347,1,3,aves-weaver-social
286,444,3,3,aves-weaver-social
287,352,3,3,aves-weaver-social
288,196,59,12,aves-weaver-social
289,200,68,15,aves-weaver-social
290,201,71,15,aves-weaver-social
291,203,22,9,aves-weaver-social
292,204,64,15,aves-weaver-social
293,206,64,15,aves-weaver-social
294,209,55,11,aves-weaver-social
295,214,71,15,aves-weaver-social
296,216,64,14,aves-weaver-social
297,217,61,13,aves-weaver-social
298,218,55,11,aves-weaver-social
299,220,55,11,aves-weaver-social
300,413,83,21,aves-weaver-social
301,197,1,2,aves-weaver-social
302,202,1,3,aves-weaver-social
303,414,1,2,aves-weaver-social
304,198,6,4,aves-weaver-social
305,199,0,1,aves-weaver-social
306,213,3,4,aves-weaver-social
307,210,6,4,aves-weaver-social
308,215,6,4,aves-weaver-social
309,211,15,6,aves-weaver-social
310,415,0,1,aves-weaver-social
311,416,3,3,aves-weaver-social
312,207,0,1,aves-weaver-social
313,212,0,1,aves-weaver-social
314,221,28,10,aves-weaver-social
315,222,25,9,aves-weaver-social
316,223,3,3,aves-weaver-social
317,224,10,5,aves-weaver-social
318,225,15,6,aves-weaver-social
319,226,18,7,aves-weaver-social
320,227,23,8,aves-weaver-social
321,228,24,9,aves-weaver-social
322,229,6,4,aves-weaver-social
323,230,14,6,aves-weaver-social
324,417,26,9,aves-weaver-social
325,231,0,1,aves-weaver-social
326,418,16,8,aves-weaver-social
327,232,1,4,aves-weaver-social
328,234,0,2,aves-weaver-social
329,237,4,4,aves-weaver-social
330,245,4,5,aves-weaver-social
331,419,0,1,aves-weaver-social
332,233,2,3,aves-weaver-social
333,240,2,3,aves-weaver-social
334,420,1,2,aves-weaver-social
335,421,1,2,aves-weaver-social
336,422,0,1,aves-weaver-social
337,235,17,8,aves-weaver-social
338,236,10,5,aves-weaver-social
339,238,16,7,aves-weaver-social
340,239,6,4,aves-weaver-social
341,241,10,5,aves-weaver-social
342,242,17,8,aves-weaver-social
343,246,6,4,aves-weaver-social
344,423,1,2,aves-weaver-social
345,244,3,3,aves-weaver-social
346,424,3,3,aves-weaver-social
347,243,0,1,aves-weaver-social
348,247,0,1,aves-weaver-social
349,275,12,8,aves-weaver-social
350,248,4,4,aves-weaver-social
351,249,3,3,aves-weaver-social
352,268,10,10,aves-weaver-social
353,296,4,4,aves-weaver-social
354,425,4,5,aves-weaver-social
355,250,7,5,aves-weaver-social
356,273,11,8,aves-weaver-social
357,282,29,9,aves-weaver-social
358,251,4,4,aves-weaver-social
359,254,8,6,aves-weaver-social
360,272,4,4,aves-weaver-social
361,252,6,4,aves-weaver-social
362,260,22,12,aves-weaver-social
363,264,26,15,aves-weaver-social
364,269,44,15,aves-weaver-social
365,253,0,1,aves-weaver-social
366,283,4,6,aves-weaver-social
367,281,3,3,aves-weaver-social
368,285,10,7,aves-weaver-social
369,255,6,4,aves-weaver-social
370,258,6,4,aves-weaver-social
371,289,6,4,aves-weaver-social
372,256,38,12,aves-weaver-social
373,261,28,8,aves-weaver-social
374,286,28,8,aves-weaver-social
375,287,28,8,aves-weaver-social
376,257,0,1,aves-weaver-social
377,259,3,3,aves-weaver-social
378,262,3,3,aves-weaver-social
379,271,10,5,aves-weaver-social
380,429,10,5,aves-weaver-social
381,263,0,1,aves-weaver-social
382,266,1,2,aves-weaver-social
383,431,1,2,aves-weaver-social
384,265,6,5,aves-weaver-social
385,280,6,5,aves-weaver-social
386,290,6,4,aves-weaver-social
387,292,9,7,aves-weaver-social
388,432,6,5,aves-weaver-social
389,267,0,1,aves-weaver-social
390,270,0,1,aves-weaver-social
391,277,1,2,aves-weaver-social
392,279,3,3,aves-weaver-social
393,433,3,4,aves-weaver-social
394,434,0,1,aves-weaver-social
395,284,4,4,aves-weaver-social
396,293,0,1,aves-weaver-social
397,297,4,5,aves-weaver-social
398,298,3,3,aves-weaver-social
399,299,1,2,aves-weaver-social
400,437,1,2,aves-weaver-social
401,300,6,4,aves-weaver-social
402,439,0,1,aves-weaver-social
403,303,42,12,aves-weaver-social
404,304,32,10,aves-weaver-social
405,306,52,15,aves-weaver-social
406,307,10,5,aves-weaver-social
407,309,21,7,aves-weaver-social
408,312,18,7,aves-weaver-social
409,314,21,7,aves-weaver-social
410,305,6,4,aves-weaver-social
411,311,19,9,aves-weaver-social
412,308,6,4,aves-weaver-social
413,441,6,4,aves-weaver-social
414,316,28,8,aves-weaver-social
415,318,46,12,aves-weaver-social
416,319,34,9,aves-weaver-social
417,320,39,10,aves-weaver-social
418,321,42,11,aves-weaver-social
419,322,28,8,aves-weaver-social
420,323,49,13,aves-weaver-social
421,325,39,10,aves-weaver-social
422,442,34,9,aves-weaver-social
423,317,46,16,aves-weaver-social
424,324,6,4,aves-weaver-social
425,326,10,5,aves-weaver-social
426,327,25,9,aves-weaver-social
427,331,34,10,aves-weaver-social
428,332,45,13,aves-weaver-social
429,333,25,9,aves-weaver-social
430,328,34,10,aves-weaver-social
431,336,21,7,aves-weaver-social
432,337,25,8,aves-weaver-social
433,338,10,5,aves-weaver-social
434,443,28,9,aves-weaver-social
435,329,12,6,aves-weaver-social
436,330,6,4,aves-weaver-social
437,340,10,5,aves-weaver-social
438,346,17,7,aves-weaver-social
439,342,3,3,aves-weaver-social
440,343,0,1,aves-weaver-social
441,344,15,7,aves-weaver-social
442,345,10,5,aves-weaver-social
443,351,7,5,aves-weaver-social
444,348,6,4,aves-weaver-social
0,0,618,57,random_aves-weaver-social
1,1,2109,106,random_aves-weaver-social
2,2,1495,90,random_aves-weaver-social
3,3,1441,87,random_aves-weaver-social
4,4,1773,104,random_aves-weaver-social
5,5,1525,90,random_aves-weaver-social
6,6,1342,86,random_aves-weaver-social
7,7,2183,114,random_aves-weaver-social
8,8,1570,100,random_aves-weaver-social
9,9,1102,77,random_aves-weaver-social
10,10,1990,108,random_aves-weaver-social
11,11,2028,104,random_aves-weaver-social
12,12,2530,120,random_aves-weaver-social
13,13,336,41,random_aves-weaver-social
14,14,1598,87,random_aves-weaver-social
15,15,1693,97,random_aves-weaver-social
16,16,2484,120,random_aves-weaver-social
17,17,917,68,random_aves-weaver-social
18,18,2046,106,random_aves-weaver-social
19,19,1411,85,random_aves-weaver-social
20,20,1075,77,random_aves-weaver-social
21,21,2782,132,random_aves-weaver-social
22,22,1812,106,random_aves-weaver-social
23,23,1987,102,random_aves-weaver-social
24,24,1393,89,random_aves-weaver-social
25,25,1206,83,random_aves-weaver-social
26,26,1708,99,random_aves-weaver-social
27,27,1493,94,random_aves-weaver-social
28,28,1265,81,random_aves-weaver-social
29,29,2812,127,random_aves-weaver-social
30,30,1828,99,random_aves-weaver-social
31,31,1929,102,random_aves-weaver-social
32,32,1082,70,random_aves-weaver-social
33,33,1928,101,random_aves-weaver-social
34,34,2098,112,random_aves-weaver-social
35,35,2158,106,random_aves-weaver-social
36,36,1529,95,random_aves-weaver-social
37,37,1732,96,random_aves-weaver-social
38,38,1816,104,random_aves-weaver-social
39,39,1775,103,random_aves-weaver-social
40,40,1666,98,random_aves-weaver-social
41,41,1825,99,random_aves-weaver-social
42,42,2091,110,random_aves-weaver-social
43,43,1192,84,random_aves-weaver-social
44,44,1568,95,random_aves-weaver-social
45,45,1830,95,random_aves-weaver-social
46,46,2362,119,random_aves-weaver-social
47,47,1774,102,random_aves-weaver-social
48,48,1856,103,random_aves-weaver-social
49,49,1202,78,random_aves-weaver-social
50,50,684,65,random_aves-weaver-social
51,51,1702,97,random_aves-weaver-social
52,52,2678,124,random_aves-weaver-social
53,53,2252,111,random_aves-weaver-social
54,54,1911,110,random_aves-weaver-social
55,55,2146,117,random_aves-weaver-social
56,56,1780,101,random_aves-weaver-social
57,57,9262,259,random_aves-weaver-social
58,58,8246,235,random_aves-weaver-social
59,59,9693,259,random_aves-weaver-social
60,60,8022,226,random_aves-weaver-social
61,61,9107,250,random_aves-weaver-social
62,62,8051,230,random_aves-weaver-social
63,63,7953,233,random_aves-weaver-social
64,64,7964,231,random_aves-weaver-social
65,65,7648,220,random_aves-weaver-social
66,66,8015,231,random_aves-weaver-social
67,67,8593,240,random_aves-weaver-social
68,68,6624,206,random_aves-weaver-social
69,69,7879,229,random_aves-weaver-social
70,70,8777,243,random_aves-weaver-social
71,71,7936,229,random_aves-weaver-social
72,72,7159,215,random_aves-weaver-social
73,73,6618,207,random_aves-weaver-social
74,74,7048,208,random_aves-weaver-social
75,75,6779,210,random_aves-weaver-social
76,76,6871,217,random_aves-weaver-social
77,77,6607,204,random_aves-weaver-social
78,78,5421,189,random_aves-weaver-social
79,79,5890,195,random_aves-weaver-social
80,80,7374,222,random_aves-weaver-social
81,81,7001,217,random_aves-weaver-social
82,82,6815,208,random_aves-weaver-social
83,83,7041,219,random_aves-weaver-social
84,84,5580,189,random_aves-weaver-social
85,85,5333,186,random_aves-weaver-social
86,86,4905,174,random_aves-weaver-social
87,87,5873,196,random_aves-weaver-social
88,88,5178,179,random_aves-weaver-social
89,89,4845,177,random_aves-weaver-social
90,90,4731,172,random_aves-weaver-social
91,91,4277,158,random_aves-weaver-social
92,92,6069,202,random_aves-weaver-social
93,93,4959,185,random_aves-weaver-social
94,94,3977,158,random_aves-weaver-social
95,95,5460,183,random_aves-weaver-social
96,96,5533,184,random_aves-weaver-social
97,97,4408,166,random_aves-weaver-social
98,98,3863,153,random_aves-weaver-social
99,99,3978,155,random_aves-weaver-social
100,100,4132,159,random_aves-weaver-social
101,101,4281,164,random_aves-weaver-social
102,102,3686,151,random_aves-weaver-social
103,103,5138,183,random_aves-weaver-social
104,104,4187,164,random_aves-weaver-social
105,105,5017,185,random_aves-weaver-social
106,106,3804,154,random_aves-weaver-social
107,107,3707,154,random_aves-weaver-social
108,108,3168,146,random_aves-weaver-social
109,109,4176,168,random_aves-weaver-social
110,110,3118,144,random_aves-weaver-social
111,111,3971,162,random_aves-weaver-social
112,112,4315,176,random_aves-weaver-social
113,113,2968,134,random_aves-weaver-social
114,114,3522,152,random_aves-weaver-social
115,115,3141,144,random_aves-weaver-social
116,116,2599,128,random_aves-weaver-social
117,117,3074,138,random_aves-weaver-social
118,118,2970,144,random_aves-weaver-social
119,119,2762,137,random_aves-weaver-social
120,120,3379,145,random_aves-weaver-social
121,121,3892,159,random_aves-weaver-social
122,122,3318,153,random_aves-weaver-social
123,123,2992,142,random_aves-weaver-social
124,124,3543,164,random_aves-weaver-social
125,125,3739,162,random_aves-weaver-social
126,126,2986,135,random_aves-weaver-social
127,127,2807,128,random_aves-weaver-social
128,128,2376,113,random_aves-weaver-social
129,129,2638,127,random_aves-weaver-social
130,130,3280,146,random_aves-weaver-social
131,131,3074,142,random_aves-weaver-social
132,132,2918,137,random_aves-weaver-social
133,133,2457,126,random_aves-weaver-social
134,134,2183,111,random_aves-weaver-social
135,135,2730,134,random_aves-weaver-social
136,136,2363,126,random_aves-weaver-social
137,137,2763,134,random_aves-weaver-social
138,138,2135,118,random_aves-weaver-social
139,139,2248,118,random_aves-weaver-social
140,140,2566,126,random_aves-weaver-social
141,141,1943,108,random_aves-weaver-social
142,142,1850,108,random_aves-weaver-social
143,143,2104,114,random_aves-weaver-social
144,144,1918,111,random_aves-weaver-social
145,145,2262,123,random_aves-weaver-social
146,146,2156,117,random_aves-weaver-social
147,147,2343,123,random_aves-weaver-social
148,148,1691,102,random_aves-weaver-social
149,149,2385,131,random_aves-weaver-social
150,150,2658,130,random_aves-weaver-social
151,151,1840,111,random_aves-weaver-social
152,152,2744,138,random_aves-weaver-social
153,153,2273,119,random_aves-weaver-social
154,154,2132,122,random_aves-weaver-social
155,155,2246,117,random_aves-weaver-social
156,156,1991,118,random_aves-weaver-social
157,157,2125,122,random_aves-weaver-social
158,158,1537,98,random_aves-weaver-social
159,159,1868,109,random_aves-weaver-social
160,160,1758,111,random_aves-weaver-social
161,161,1989,109,random_aves-weaver-social
162,162,1953,109,random_aves-weaver-social
163,163,1902,113,random_aves-weaver-social
164,164,1555,97,random_aves-weaver-social
165,165,1932,113,random_aves-weaver-social
166,166,1935,108,random_aves-weaver-social
167,167,1774,106,random_aves-weaver-social
168,168,1600,101,random_aves-weaver-social
169,169,1761,100,random_aves-weaver-social
170,170,1821,107,random_aves-weaver-social
171,171,1887,110,random_aves-weaver-social
172,172,1560,106,random_aves-weaver-social
173,173,1878,113,random_aves-weaver-social
174,174,1930,112,random_aves-weaver-social
175,175,1573,97,random_aves-weaver-social
176,176,1418,102,random_aves-weaver-social
177,177,1816,114,random_aves-weaver-social
178,178,1645,107,random_aves-weaver-social
179,179,1607,98,random_aves-weaver-social
180,180,1663,104,random_aves-weaver-social
181,181,1547,98,random_aves-weaver-social
182,182,1444,98,random_aves-weaver-social
183,183,1675,113,random_aves-weaver-social
184,184,1809,104,random_aves-weaver-social
185,185,1720,104,random_aves-weaver-social
186,186,2046,114,random_aves-weaver-social
187,187,1743,109,random_aves-weaver-social
188,188,1592,100,random_aves-weaver-social
189,189,1352,92,random_aves-weaver-social
190,190,1410,96,random_aves-weaver-social
191,191,1384,94,random_aves-weaver-social
192,192,1503,103,random_aves-weaver-social
193,193,1498,99,random_aves-weaver-social
194,194,1218,88,random_aves-weaver-social
195,195,1318,100,random_aves-weaver-social
196,196,1095,83,random_aves-weaver-social
197,197,1342,98,random_aves-weaver-social
198,198,1371,96,random_aves-weaver-social
199,199,1490,100,random_aves-weaver-social
200,200,1371,95,random_aves-weaver-social
201,201,1273,94,random_aves-weaver-social
202,202,1368,97,random_aves-weaver-social
203,203,1764,104,random_aves-weaver-social
204,204,1146,83,random_aves-weaver-social
205,205,1367,96,random_aves-weaver-social
206,206,1327,92,random_aves-weaver-social
207,207,1325,102,random_aves-weaver-social
208,208,1389,97,random_aves-weaver-social
209,209,1460,99,random_aves-weaver-social
210,210,1414,98,random_aves-weaver-social
211,211,1138,80,random_aves-weaver-social
212,212,1248,91,random_aves-weaver-social
213,213,1359,92,random_aves-weaver-social
214,214,1118,93,random_aves-weaver-social
215,215,1396,102,random_aves-weaver-social
216,216,1245,93,random_aves-weaver-social
217,217,1267,93,random_aves-weaver-social
218,218,1421,99,random_aves-weaver-social
219,219,1120,82,random_aves-weaver-social
220,220,1076,84,random_aves-weaver-social
221,221,1316,96,random_aves-weaver-social
222,222,1188,94,random_aves-weaver-social
223,223,1112,87,random_aves-weaver-social
224,224,1113,87,random_aves-weaver-social
225,225,1083,83,random_aves-weaver-social
226,226,1310,94,random_aves-weaver-social
227,227,1210,83,random_aves-weaver-social
228,228,1213,86,random_aves-weaver-social
229,229,1400,94,random_aves-weaver-social
230,230,1150,91,random_aves-weaver-social
231,231,1243,89,random_aves-weaver-social
232,232,1104,80,random_aves-weaver-social
233,233,1123,87,random_aves-weaver-social
234,234,996,76,random_aves-weaver-social
235,235,1231,89,random_aves-weaver-social
236,236,1130,85,random_aves-weaver-social
237,237,996,83,random_aves-weaver-social
238,238,985,77,random_aves-weaver-social
239,239,1105,91,random_aves-weaver-social
240,240,1073,89,random_aves-weaver-social
241,241,1075,83,random_aves-weaver-social
242,242,1275,86,random_aves-weaver-social
243,243,1161,87,random_aves-weaver-social
244,244,1149,88,random_aves-weaver-social
245,245,1121,89,random_aves-weaver-social
246,246,1020,88,random_aves-weaver-social
247,247,1111,90,random_aves-weaver-social
248,248,1110,84,random_aves-weaver-social
249,249,922,79,random_aves-weaver-social
250,250,1010,78,random_aves-weaver-social
251,251,1320,90,random_aves-weaver-social
252,252,1032,79,random_aves-weaver-social
253,253,988,78,random_aves-weaver-social
254,254,1194,87,random_aves-weaver-social
255,255,1001,78,random_aves-weaver-social
256,256,1023,84,random_aves-weaver-social
257,257,914,78,random_aves-weaver-social
258,258,965,76,random_aves-weaver-social
259,259,1025,82,random_aves-weaver-social
260,260,830,77,random_aves-weaver-social
261,261,962,80,random_aves-weaver-social
262,262,935,74,random_aves-weaver-social
263,263,952,76,random_aves-weaver-social
264,264,989,85,random_aves-weaver-social
265,265,953,79,random_aves-weaver-social
266,266,1025,81,random_aves-weaver-social
267,267,987,79,random_aves-weaver-social
268,268,947,78,random_aves-weaver-social
269,269,876,72,random_aves-weaver-social
270,270,839,76,random_aves-weaver-social
271,271,1045,86,random_aves-weaver-social
272,272,855,77,random_aves-weaver-social
273,273,893,75,random_aves-weaver-social
274,274,834,72,random_aves-weaver-social
275,275,786,71,random_aves-weaver-social
276,276,877,68,random_aves-weaver-social
277,277,894,78,random_aves-weaver-social
